# Disease(MESH)	Gene
D012559	Q9H900
D012559	P15882
D012559	Q9UIH9
D012559	Q8N4V1
D012559	Q7Z4G1
D012559	A0A087X0I3
D012559	Q9BYX4
D012559	A6NF34
D012559	P68543
D012559	Q9ULL4
D012559	Q06330
D012559	Q14165
D012559	Q9NXS3
D012559	Q6FHJ7
D012559	G5E9L0
D012559	Q8IXZ3
D012559	Q9NS00
D012559	Q8N3Z0
D012559	O00160
D012559	Q10567
D012559	Q9NPJ8
D012559	Q99715
D012559	Q9H8M1
D012559	Q9Y547
D012559	Q9P2K8
D012559	Q9UBK5
D012559	Q8TAK6
D012559	P49761
D012559	E7EQT0
D012559	Q15051
D012559	Q8N335
D012559	Q96SU4
D012559	Q96GS6
D012559	O95477
D012559	P35555
D012559	Q2TBF2
D012559	A6NH57
D012559	Q9NVM9
D012559	Q7Z3Z4
D012559	A0A087WWT8
D012559	B7Z8V7
D012559	P06576
D012559	Q9GZS3
D012559	Q12830
D012559	O43920
D012559	Q9H8M5
D012559	Q8IY42
D012559	Q8N3T6
D012559	A0A087WXB0
D012559	Q15366
D012559	A0A0C4DFY0
D012559	H0YNJ6
D012559	Q8IY33
D012559	O94910
D012559	A0A0C4DGV4
D012559	Q16518
D012559	O75473
D012559	Q9NZQ3
D012559	Q96A33
D012559	Q5TEJ8
D012559	Q14008
D012559	P55212
D012559	Q9BQB6
D012559	A6NNY8
D012559	Q01167
D012559	P49585
D012559	Q96NT5
D012559	Q99732
D012559	Q12794
D012559	Q16478
D012559	Q8NDH6
D012559	Q9H9Y2
D012559	Q9H0I3
D012559	Q8IVJ1
D012559	Q9BUN5
D012559	Q96FJ0
D012559	Q9BSJ8
D012559	Q8NFR7
D012559	P04921
D012559	Q13564
D012559	Q7Z7D3
D012559	B7Z5R0
D012559	Q9UBP4
D012559	Q14114
D012559	Q8IWU4
D012559	Q9BQ39
D012559	P51636
D012559	P0CG48
D012559	O14684
D012559	O60879
D012559	Q5TB80
D012559	P19961
D012559	Q9BZW8
D012559	Q9P266
D012559	Q9Y2G3
D012559	Q8N5J4
D012559	P18433
D012559	Q9BQ69
D012559	P84101
D012559	Q9UHY1
D012559	Q16633
D012559	O43614
D012559	E9PES4
D012559	Q8IXM2
D012559	Q8N0W4
D012559	Q15928
D012559	P32247
D012559	Q9GZZ6
D012559	Q9UG63
D012559	A0A0U1RRA6
D012559	Q5T7W7
D012559	O94761
D012559	Q9BY67
D012559	Q9UQ80
D012559	Q9ULM6
D012559	Q16557
D012559	Q9Y4G8
D012559	Q0Z7S8
D012559	Q9H1U9
D012559	E7ESS2
D012559	B7Z3L6
D012559	Q96EY8
D012559	Q8IWT6
D012559	O95573
D012559	Q8N143
D012559	Q9BZM1
D012559	P62891
D012559	Q9NQS7
D012559	B1AK85
D012559	P0C091
D012559	P00439
D012559	Q8WYK2
D012559	Q9BZF9
D012559	P47874
D012559	Q6IPT4
D012559	Q8IYF3
D012559	P51151
D012559	Q9Y5Z9
D012559	P57052
D012559	Q8WUG5
D012559	P05091
D012559	O94806
D012559	P68400
D012559	P09382
D012559	F5GXF0
D012559	Q96T92
D012559	P23378
D012559	Q9UJP4
D012559	Q8IWA5
D012559	Q7L775
D012559	Q96S21
D012559	Q5T9C9
D012559	Q5VXT5
D012559	P68363
D012559	A0A0J9YW40
D012559	Q14894
D012559	Q16602
D012559	O60684
D012559	Q96DH6
D012559	Q13129
D012559	E7EQR6
D012559	O96014
D012559	Q96NU7
D012559	P19544
D012559	P51178
D012559	H0UI06
D012559	Q9BXJ9
D012559	Q9BXL8
D012559	P42685
D012559	O43278
D012559	Q6YI46
D012559	Q92769
D012559	Q9UBS9
D012559	Q96IP4
D012559	P42702
D012559	O14678
D012559	P13765
D012559	Q8NHU6
D012559	P68402
D012559	P51692
D012559	Q96LC9
D012559	Q8IX07
D012559	Q8IV63
D012559	Q9BXS1
D012559	P12268
D012559	O43304
D012559	Q99504
D012559	Q9GZY6
D012559	A0A087WYR8
D012559	Q5VT25
D012559	Q9Y2M0
D012559	Q5TZF3
D012559	Q9UBL6
D012559	Q9H089
D012559	Q9NR12
D012559	Q8WXH5
D012559	Q9Y6G1
D012559	P14543
D012559	Q96M20
D012559	Q2Q1W2
D012559	Q14190
D012559	Q9H2W2
D012559	Q8TD17
D012559	Q86XT2
D012559	P0CG32
D012559	Q9P2E7
D012559	Q9Y2I1
D012559	Q9UIG8
D012559	A8MT69
D012559	Q8WWV3
D012559	Q9BXJ4
D012559	P01258
D012559	Q8NFT2
D012559	Q5T447
D012559	Q2NL82
D012559	Q0JRZ9
D012559	Q86VP6
D012559	Q96N03
D012559	Q9NYA4
D012559	Q8N543
D012559	Q8N6S5
D012559	Q5TB12
D012559	D6RHG7
D012559	Q9C000
D012559	A0A087WVV1
D012559	Q8N5D0
D012559	Q13546
D012559	Q14802
D012559	Q8NFZ8
D012559	P26045
D012559	P17302
D012559	P12814
D012559	Q9H0M4
D012559	Q17RD7
D012559	Q9P2G1
D012559	Q8WUX1
D012559	Q9H0X9
D012559	Q16099
D012559	Q9H4I2
D012559	P17014
D012559	Q5EG05
D012559	O00443
D012559	Q9BSH5
D012559	Q6T311
D012559	P24043
D012559	Q0VF96
D012559	Q9BQE4
D012559	Q96AZ6
D012559	A0A087WVR3
D012559	Q6IA86
D012559	Q9NZB8
D012559	A0A087WXV4
D012559	B7Z2R7
D012559	O43310
D012559	Q96CW9
D012559	P55103
D012559	Q8NCM8
D012559	Q9H777
D012559	P31937
D012559	Q8NA61
D012559	Q15653
D012559	Q14246
D012559	O75762
D012559	Q719H9
D012559	Q8N6L7
D012559	Q96BK5
D012559	Q9C0E2
D012559	P23368
D012559	Q5I0X7
D012559	Q99966
D012559	F6RGN5
D012559	Q8TEZ7
D012559	Q96T17
D012559	Q92551
D012559	Q6PJ61
D012559	Q99729
D012559	F1T0C9
D012559	Q9Y4W6
D012559	Q8NAB2
D012559	Q5FWF6
D012559	M0R1D2
D012559	A5JUZ3
D012559	Q8TCF1
D012559	O00754
D012559	Q96NY7
D012559	O14827
D012559	Q8WWQ8
D012559	A6NC42
D012559	O60673
D012559	G3XAN8
D012559	Q8TD23
D012559	O75949
D012559	P25116
D012559	Q86X55
D012559	O14832
D012559	P17735
D012559	Q14112
D012559	B3KQ30
D012559	Q9BR01
D012559	Q5HYR2
D012559	Q8WXS5
D012559	O00499
D012559	P20849
D012559	J3KPJ0
D012559	O95400
D012559	Q99442
D012559	Q9Y3V2
D012559	B4DK72
D012559	P21964
D012559	Q96LM6
D012559	O00548
D012559	Q96PL2
D012559	F5GYX3
D012559	Q7L1Q6
D012559	A0A087WZK6
D012559	P10243
D012559	P62310
D012559	Q14CX5
D012559	P05452
D012559	P53816
D012559	A0A087WYV6
D012559	Q5VX71
D012559	Q96K76
D012559	O95279
D012559	G5E972
D012559	B3KUN7
D012559	P62937
D012559	B4DDF4
D012559	Q8IWD4
D012559	Q9NUM4
D012559	Q14767
D012559	Q5TIA5
D012559	Q9HCK0
D012559	Q8WVS4
D012559	Q7Z7K6
D012559	P58743
D012559	O15013
D012559	Q99933
D012559	O14773
D012559	O15554
D012559	Q16623
D012559	Q9BTT0
D012559	P28562
D012559	Q9Y4X0
D012559	Q9BZW4
D012559	Q86TL2
D012559	Q5T124
D012559	Q9BVS4
D012559	P15822
D012559	Q68D06
D012559	Q9UHP3
D012559	Q8N7J2
D012559	Q92945
D012559	P21709
D012559	Q969M1
D012559	P28161
D012559	O75493
D012559	O43823
D012559	P52566
D012559	Q96FN4
D012559	H0YKE7
D012559	B7Z2Q2
D012559	Q08209
D012559	Q9BQ24
D012559	Q8N0Z3
D012559	Q96JP0
D012559	Q96JT2
D012559	Q96FX7
D012559	P51606
D012559	P01579
D012559	Q6UX07
D012559	P50148
D012559	Q86XT4
D012559	O95248
D012559	Q7Z398
D012559	Q9NR30
D012559	O15520
D012559	P04792
D012559	P43268
D012559	P36575
D012559	Q9P2D3
D012559	O95803
D012559	P50406
D012559	Q8N695
D012559	Q99733
D012559	Q0VDI3
D012559	Q13905
D012559	Q13421
D012559	Q86VW2
D012559	Q7L1V2
D012559	O00584
D012559	P62805
D012559	P31431
D012559	Q4VNC1
D012559	P61587
D012559	Q9BYJ0
D012559	Q9H2X6
D012559	D4Q8H0
D012559	Q96KK3
D012559	Q9UGL1
D012559	P33151
D012559	P28906
D012559	Q70EK9
D012559	O95452
D012559	Q969F1
D012559	Q7RTX1
D012559	O60220
D012559	Q86Y13
D012559	Q86TX2
D012559	Q9NSY2
D012559	Q9BQA5
D012559	Q96AY4
D012559	P25189
D012559	P51946
D012559	Q14832
D012559	D3YTC1
D012559	P08172
D012559	Q9NR97
D012559	Q96H35
D012559	Q9BST9
D012559	Q9BZV1
D012559	Q01826
D012559	P61254
D012559	Q8N2G6
D012559	Q9ULZ9
D012559	A0A087X0M6
D012559	P16870
D012559	Q9Y279
D012559	E7ER45
D012559	O60478
D012559	O94900
D012559	Q92692
D012559	Q13422
D012559	O43529
D012559	Q6P587
D012559	B3KSI3
D012559	Q8IWX8
D012559	P10071
D012559	O95139
D012559	Q8NFH5
D012559	Q9BXW7
D012559	Q9P2C4
D012559	Q8NCM2
D012559	Q9Y653
D012559	Q13239
D012559	Q9NWT6
D012559	P62258
D012559	Q9NS56
D012559	Q9UQ53
D012559	Q9BQS2
D012559	O43929
D012559	Q6ZMW3
D012559	P29376
D012559	Q6UW88
D012559	Q9C0C4
D012559	P20933
D012559	A0A024RA52
D012559	Q9NQI0
D012559	Q6STE5
D012559	O95630
D012559	O14544
D012559	Q9UQV4
D012559	P68133
D012559	P28715
D012559	Q9Y3A4
D012559	Q4KMP7
D012559	Q9C0H2
D012559	Q6ZNG1
D012559	Q9NU02
D012559	P30304
D012559	Q53ET0
D012559	F5GX24
D012559	D6RER2
D012559	O95050
D012559	P50395
D012559	A6NER6
D012559	Q96H55
D012559	Q9C0A6
D012559	P04083
D012559	Q6PII3
D012559	F5H5X9
D012559	Q13621
D012559	Q9HAP6
D012559	Q7Z7A5
D012559	Q12967
D012559	P30550
D012559	Q96CB9
D012559	Q8N2M4
D012559	O14523
D012559	Q9H0I2
D012559	Q9BT92
D012559	P51948
D012559	Q8TED0
D012559	O75593
D012559	O43502
D012559	Q8NDN9
D012559	D6W5A2
D012559	Q2NKX8
D012559	Q9BZD2
D012559	Q02156
D012559	H7BXH2
D012559	P08247
D012559	Q01851
D012559	O95382
D012559	P35659
D012559	Q6AZW8
D012559	Q6PD74
D012559	Q9Y2Z0
D012559	Q9H5J8
D012559	O00391
D012559	Q6MZQ0
D012559	Q5BIX2
D012559	Q13608
D012559	Q8TDD1
D012559	P55809
D012559	P50993
D012559	Q7Z591
D012559	Q9UH03
D012559	Q15418
D012559	Q96LB3
D012559	Q9P1W3
D012559	Q08477
D012559	A0A0A0MS57
D012559	O60676
D012559	O95571
D012559	Q6P5Q4
D012559	Q15109
D012559	Q3B7T1
D012559	P62316
D012559	O15523
D012559	Q9UBS4
D012559	Q8IUZ0
D012559	Q9BZR8
D012559	J3KTA4
D012559	Q5VYH9
D012559	Q2XQZ0
D012559	A6NP61
D012559	Q96E52
D012559	J3KTH2
D012559	P23297
D012559	Q8N0V4
D012559	Q99467
D012559	Q8WUD4
D012559	Q9HB15
D012559	Q86SQ7
D012559	P19823
D012559	O14879
D012559	Q969Z3
D012559	P49755
D012559	P78324
D012559	Q8N8M0
D012559	B7Z5P7
D012559	Q8NDX2
D012559	Q7Z4L9
D012559	Q9NR33
D012559	Q9P107
D012559	O43660
D012559	O94810
D012559	J3KNJ8
D012559	Q96MG2
D012559	Q9BZW2
D012559	O95072
D012559	P54886
D012559	Q96B49
D012559	Q9BUQ8
D012559	Q9BU89
D012559	Q9BSJ2
D012559	P78545
D012559	Q16222
D012559	Q6P5X7
D012559	Q07955
D012559	Q9NVH6
D012559	H0Y2S1
D012559	Q9UHB9
D012559	B4DX60
D012559	E9PRA0
D012559	Q13601
D012559	Q07108
D012559	E7EVB6
D012559	P52655
D012559	P52888
D012559	Q56A73
D012559	Q15041
D012559	Q96SF7
D012559	Q9UBT3
D012559	Q96KN1
D012559	Q9Y2U5
D012559	O60292
D012559	P16118
D012559	Q14764
D012559	P83436
D012559	Q7Z769
D012559	P25325
D012559	Q99489
D012559	Q96NI6
D012559	O95171
D012559	P56159
D012559	Q9BPY8
D012559	O14645
D012559	Q99758
D012559	O00469
D012559	Q9NZL6
D012559	Q9Y3I0
D012559	P11487
D012559	H0YNU5
D012559	O43186
D012559	Q06609
D012559	Q07092
D012559	P51160
D012559	Q96A19
D012559	P16422
D012559	O60315
D012559	P07476
D012559	Q8TAG5
D012559	P03915
D012559	Q86TA1
D012559	O94854
D012559	Q8NEV8
D012559	Q8NA72
D012559	Q9UHD0
D012559	Q9BYK8
D012559	Q9HAZ1
D012559	Q9BZQ6
D012559	A0A0C4DFY5
D012559	Q9HBL8
D012559	P06746
D012559	Q9BWW7
D012559	Q8IY49
D012559	Q96M98
D012559	Q92833
D012559	Q9NUL3
D012559	Q15363
D012559	Q8N960
D012559	Q9Y3B6
D012559	Q9C002
D012559	Q9Y4U1
D012559	F8W6D9
D012559	Q92802
D012559	Q14993
D012559	Q99519
D012559	Q8TDY4
D012559	O95865
D012559	O43155
D012559	Q9Y2L6
D012559	Q9Y4B5
D012559	Q8NFW5
D012559	Q86SG6
D012559	Q8N3A8
D012559	P23919
D012559	Q9NR16
D012559	Q99748
D012559	P30566
D012559	Q92934
D012559	P56704
D012559	Q5JVS0
D012559	Q9ULC0
D012559	Q8NB49
D012559	Q9BTM1
D012559	O15144
D012559	Q9P2N4
D012559	Q8WWZ8
D012559	P49917
D012559	Q86XI6
D012559	P61026
D012559	Q9HAT8
D012559	Q15390
D012559	Q6ZV70
D012559	Q9UIG0
D012559	Q02363
D012559	Q969U6
D012559	Q9GZZ7
D012559	M9RSF4
D012559	Q16595
D012559	Q9Y675
D012559	Q9H808
D012559	P01042
D012559	Q9NRW1
D012559	Q8NA42
D012559	Q11203
D012559	Q8TD26
D012559	Q96K49
D012559	Q8N987
D012559	Q9NQW6
D012559	P08913
D012559	P23327
D012559	B4DSP0
D012559	P21810
D012559	Q9HC58
D012559	Q9P0J0
D012559	Q13253
D012559	Q9NVP2
D012559	Q66GS9
D012559	O95997
D012559	E0CX11
D012559	P06239
D012559	Q9UDW3
D012559	Q6ZSC3
D012559	P25774
D012559	Q96GK7
D012559	P63302
D012559	O75787
D012559	Q8WXB4
D012559	Q15388
D012559	O75947
D012559	Q13449
D012559	P43005
D012559	Q6P9A1
D012559	Q8WYL5
D012559	O00154
D012559	Q96MM6
D012559	Q7Z7C7
D012559	P57789
D012559	Q8WVC0
D012559	Q9NZN3
D012559	A0A0U1RR16
D012559	Q9NZR4
D012559	O94864
D012559	Q86SQ4
D012559	P08151
D012559	E7EWX8
D012559	E7ERK8
D012559	O43395
D012559	Q9NZB2
D012559	P51689
D012559	Q8N2I9
D012559	H0Y2X5
D012559	Q9UNK9
D012559	Q6QNY0
D012559	Q9H161
D012559	Q3BBV0
D012559	Q765P7
D012559	Q49AG3
D012559	Q15800
D012559	Q6NSI4
D012559	P39905
D012559	Q6P995
D012559	Q96DV4
D012559	P49773
D012559	Q13478
D012559	P46734
D012559	Q3MIP1
D012559	Q9Y237
D012559	P15954
D012559	Q8WWX0
D012559	P14784
D012559	Q9UPW8
D012559	O95487
D012559	O75925
D012559	C9J365
D012559	A0A0A0MR11
D012559	P00390
D012559	Q9ULI4
D012559	P15311
D012559	Q9H2A9
D012559	Q99714
D012559	G3V4I0
D012559	P62195
D012559	Q7Z624
D012559	P35527
D012559	Q8WY54
D012559	P57088
D012559	Q9NXF8
D012559	F8W7W8
D012559	A9QM74
D012559	P09017
D012559	O15528
D012559	P21462
D012559	Q9Y4R8
D012559	H0Y413
D012559	Q99453
D012559	Q8ND24
D012559	Q9NRY7
D012559	Q9BXF6
D012559	Q96SL4
D012559	O14613
D012559	Q5PSV4
D012559	Q9NPC8
D012559	Q14206
D012559	A0A087WV34
D012559	O75815
D012559	P11049
D012559	Q9Y2H2
D012559	Q8WVX9
D012559	Q7Z5M8
D012559	Q9P273
D012559	Q8TAE8
D012559	Q8NFV4
D012559	Q9NP84
D012559	O43264
D012559	Q92743
D012559	A0A0G2JM26
D012559	Q8TDX5
D012559	Q14249
D012559	P34981
D012559	Q96E40
D012559	O14777
D012559	Q16649
D012559	P0DM35
D012559	Q9UK33
D012559	O15169
D012559	Q9HBG4
D012559	Q8WZA1
D012559	O95299
D012559	Q8N339
D012559	O43747
D012559	Q9Y512
D012559	P02671
D012559	Q9P032
D012559	Q9NVR7
D012559	F5H496
D012559	Q09328
D012559	Q8NFP4
D012559	A0A087X228
D012559	Q9HD26
D012559	Q6UWV6
D012559	Q8IX90
D012559	Q86XP3
D012559	Q9NSC5
D012559	Q53GI3
D012559	P35348
D012559	Q9BY76
D012559	P19801
D012559	Q99542
D012559	P02689
D012559	P80303
D012559	Q9H4L5
D012559	P05181
D012559	Q10570
D012559	Q7Z4G4
D012559	Q6ZNE5
D012559	P20023
D012559	Q8N4E7
D012559	O75718
D012559	P25874
D012559	P16109
D012559	Q8N187
D012559	E7ETB3
D012559	A8MT87
D012559	J3KQ48
D012559	Q96BF6
D012559	Q8N441
D012559	Q969X2
D012559	P06400
D012559	Q8TDD5
D012559	Q9BZW7
D012559	Q9H8Y1
D012559	P56278
D012559	B4DW98
D012559	Q9BYT1
D012559	P33764
D012559	P40306
D012559	O14617
D012559	Q5T6F0
D012559	P36969
D012559	O94986
D012559	A0A0U1RR20
D012559	Q96RP8
D012559	Q5T3T9
D012559	P50583
D012559	P48509
D012559	Q3SYG4
D012559	Q14703
D012559	A8MVZ6
D012559	Q8N4L1
D012559	Q6Y7W6
D012559	P59797
D012559	Q5HYM0
D012559	Q8IWQ3
D012559	Q9NZN1
D012559	A0A0G2JH32
D012559	Q01085
D012559	Q9UM22
D012559	P35269
D012559	Q15050
D012559	O43493
D012559	E9PAP3
D012559	Q14202
D012559	P32927
D012559	Q92847
D012559	A0A087WT27
D012559	O14776
D012559	J9JID4
D012559	Q8IXL6
D012559	Q16832
D012559	Q9Y4I1
D012559	Q8TD20
D012559	P19387
D012559	Q96JM2
D012559	P20264
D012559	Q9Y399
D012559	Q9NUJ3
D012559	P02649
D012559	Q8NBS3
D012559	P01040
D012559	Q96DM3
D012559	Q5T2W1
D012559	Q99435
D012559	Q9C0J8
D012559	P00739
D012559	P23435
D012559	Q8N5S9
D012559	Q6ZNL6
D012559	P78318
D012559	E9PLK3
D012559	P24864
D012559	Q5BIV9
D012559	O43709
D012559	P36894
D012559	P48147
D012559	Q92622
D012559	Q9UJT2
D012559	A0A087WYR0
D012559	P58166
D012559	O75325
D012559	P05164
D012559	A0A0G2JHB5
D012559	Q9BR77
D012559	P06870
D012559	C9J6P4
D012559	Q9NQX4
D012559	P25705
D012559	Q12841
D012559	Q9Y639
D012559	Q969Y0
D012559	O95059
D012559	Q9Y6E7
D012559	Q13639
D012559	Q8NDW8
D012559	P35858
D012559	Q9Y222
D012559	P57073
D012559	Q5VT97
D012559	Q8NFJ8
D012559	A0A0G2JL69
D012559	Q16568
D012559	Q8N806
D012559	Q13495
D012559	Q5XKP0
D012559	Q01726
D012559	Q9GZT6
D012559	O00159
D012559	Q9BT25
D012559	A0A0G2JNH5
D012559	Q9NYF3
D012559	Q96KQ4
D012559	Q8WXI3
D012559	Q7Z6B7
D012559	A0A0A0MQX9
D012559	Q9NQC8
D012559	Q9H223
D012559	P47944
D012559	A0A0A0MRV2
D012559	O75964
D012559	P01210
D012559	Q9NRQ2
D012559	Q9NP99
D012559	O14921
D012559	B4DKD1
D012559	F2Z333
D012559	Q05BK6
D012559	O60925
D012559	Q9UI42
D012559	P02675
D012559	A6NJT0
D012559	P20809
D012559	P51884
D012559	Q6DHV7
D012559	Q75V66
D012559	Q53EP0
D012559	E9PL69
D012559	P01270
D012559	P05109
D012559	Q9BYV8
D012559	Q99814
D012559	Q8IX21
D012559	P50150
D012559	Q2VPA4
D012559	D6RC73
D012559	O95954
D012559	Q9H790
D012559	Q9UDV7
D012559	Q9BVG3
D012559	Q92900
D012559	O95456
D012559	Q6PID6
D012559	Q8NC67
D012559	A0A0U1RR07
D012559	Q9UJX4
D012559	P05060
D012559	Q7L5D6
D012559	Q99731
D012559	Q8NCC5
D012559	Q9H013
D012559	A6NH52
D012559	B8ZZ71
D012559	P46736
D012559	O75333
D012559	P07900
D012559	A0A087WSW2
D012559	Q8ND90
D012559	Q9NYC9
D012559	Q8WWG1
D012559	A0A087WTD2
D012559	Q8TE56
D012559	Q9Y6R7
D012559	D6RAR4
D012559	Q92521
D012559	O94762
D012559	Q86SR1
D012559	P48067
D012559	O43593
D012559	Q6P2M8
D012559	P46976
D012559	J3KPF3
D012559	Q15398
D012559	Q5TA50
D012559	Q9Y6N8
D012559	Q96HW7
D012559	P42773
D012559	P08217
D012559	P23246
D012559	Q9NWW6
D012559	C9J4K0
D012559	Q9BYD1
D012559	Q8N6M3
D012559	Q99985
D012559	E9PCY7
D012559	Q5VY43
D012559	P51587
D012559	O75954
D012559	Q9H8M9
D012559	Q5JTD0
D012559	Q17R98
D012559	Q7KYR7
D012559	Q02978
D012559	P16401
D012559	Q9Y3B4
D012559	Q9NWB6
D012559	Q96RN1
D012559	P00367
D012559	P01588
D012559	Q24JP5
D012559	P55083
D012559	Q8NHQ9
D012559	A0A0A0MRG3
D012559	P12830
D012559	E2QRB3
D012559	O95497
D012559	Q9Y5Y9
